post_title,post_date,product_name,sale_price,regular_price,source_url,scraped_at,approx_regular_price
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,CN3003CA,$799.97,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,1658981 CUISINART PRECISION MASTER DIGITAL STAND MIXER (,$60.00,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,1945362 TRAMONTINA SKILLET SET 3 PIECES (,$15.00,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,1883229 LEGO BOTANICALS FLOWER ARRANGEMENT (,$25.00,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,1876170 APPLE WATCH SE GPS 2ND GEN 44MM MIDNIGHT M/L,$279.97,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,1876161 APPLE WATCH SE GPS 2ND GEN 40MM STARLIGHT S/M,$249.97,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,1441161 ACER 15.6″ PORTABLE MONITOR PM161QT (,$20.00,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,4003636 LOGITECH KEYBOARD MOUSE COMBO MK950 (,$20.00,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,2024130 BIC BALL/GEL PENS PACK OF 24,$9.97,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,240XL/CL241XL INK CARTRIDGES 1 COLOUR 2 BLACK,$39.97,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,2277700 MOTOROLA G 5G 128GB SAGE GREEN (,$20.00,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,3344400 MOTOROLA G STYLUS 5G (2024) 256GB CREAM (,$50.00,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,2155103 HP SMART TANK ALL IN ONE PRINTER 5103,$149.97,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,1345165 SAMSUNG ODYSSEY G5 34″ GAMING MONITOR LC34G55TWDNXZA (,$50.00,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,462CA (,$100.00,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,Q60CF 3.1.2CH SOUNDBAR (,$100.00,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,8779922 SOUNDCORE BOOM V2 SPEAKER,$99.97,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,5606065 SAMSUNG 65Q6F 65″ CLASS (64.5″ DIAG) 4K UHD QLED TV (,$100.00,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,5508175 SAMSUNG 75Q80D 75″ CLASS (74.5″ DIAG) 4K UHD QLED LCD TV,$1229.97,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,1806326 COSCO 3 STEP STOOL (,$10.00,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,1878105 NEATFREAK HANDWOVEN TRAYS 3 PIECES,$9.97,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,1892650 AFTER IRONING BOARD 130CM/51IN,$49.97,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
